# V1.0	10.20.2004	 User: lda	 Total number of Spots: 3072
# Created by: TIGR Spotfinder 2. 2. 3.
# TIFF files processed: CL100804#45G1_Cy3(112-10).tif; CL100804#45G1_Cy5(112-10).tif.
# 
UID	IA	IB	R	C	MR	MC	SR	SC	FlagA	FlagB	SA	SF	QCscore	QCA	QCB	BkgA	BkgB
160	689373	834200	4	16	1	1	4	16	C	C	98	1.0000	0.9333	0.9208	0.9458	63014.000000	30184.000000
161	92996	38311	4	17	1	1	4	17	B	B	47	1.0000	0.1705	0.1786	0.1624	21855.000000	8695.000000
162	92502	38129	4	18	1	1	4	18	C	C	54	1.0000	0.3287	0.3539	0.3036	25002.000000	10044.000000
163	123114	43407	4	19	1	1	4	19	C	C	52	1.0000	0.4118	0.4394	0.3843	25168.000000	9672.000000
164	84761	34291	4	20	1	1	4	20	C	C	65	1.0000	0.1191	0.1284	0.1097	26260.000000	11960.000000
165	102055	35221	4	21	1	1	4	21	C	C	67	1.0000	0.2395	0.2656	0.2135	30418.000000	11591.000000
166	71903	19678	4	22	1	1	4	22	C	C	54	1.0000	0.2024	0.2400	0.1648	23760.000000	10260.000000
167	391916	343250	4	23	1	1	4	23	C	C	80	1.0000	0.8567	0.8567	0.8567	42000.000000	18080.000000
168	82918	28178	4	24	1	1	4	24	C	C	54	1.0000	0.1458	0.1664	0.1252	28512.000000	10044.000000
169	1028110	1152782	4	25	1	2	4	1	C	C	87	1.0000	0.9438	0.9379	0.9497	49764.000000	25056.000000
170	39555	148717	4	26	1	2	4	2	C	C	21	1.0000	0.4901	0.4702	0.5100	12852.000000	8967.000000
171	116106	57539	4	27	1	2	4	3	C	C	67	1.0000	0.2975	0.3147	0.2804	31892.000000	13735.000000
172	42078	13085	4	28	1	2	4	4	B	B	32	1.0000	0.0000	0.0000	0.0000	15296.000000	6272.000000
173	53959	10310	4	29	1	2	4	5	B	B	42	1.0000	0.0000	0.0000	0.0000	17766.000000	8106.000000
174	980517	1026158	4	30	1	2	4	6	C	C	86	1.0000	0.7813	0.7788	0.7838	48246.000000	21930.000000
175	241206	236655	4	31	1	2	4	7	C	C	85	1.0000	0.8860	0.8692	0.9029	45730.000000	18360.000000
176	129319	73964	4	32	1	2	4	8	C	C	68	1.0000	0.2112	0.2175	0.2049	44880.000000	16864.000000
177	150943	111621	4	33	1	2	4	9	C	C	81	1.0000	0.5138	0.5156	0.5120	38313.000000	17172.000000
178	67862	22282	4	34	1	2	4	10	B	B	43	1.0000	0.0000	0.0000	0.0000	18103.000000	8213.000000
179	59564	16023	4	35	1	2	4	11	B	B	43	1.0000	0.0000	0.0000	0.0000	18619.000000	7998.000000
180	70780	15007	4	36	1	2	4	12	C	C	54	1.0000	0.0000	0.0000	0.0000	23976.000000	10152.000000
181	101628	44260	4	37	1	2	4	13	C	C	63	1.0000	0.2038	0.2213	0.1864	29736.000000	13230.000000
182	312698	158738	4	38	1	2	4	14	C	C	81	1.0000	0.5031	0.5146	0.4916	51435.000000	19602.000000
183	3121976	2555575	4	39	1	2	4	15	C	C	111	0.5676	0.9139	0.9222	0.9056	70056.000000	45864.000000
184	250703	144207	4	40	1	2	4	16	C	C	81	1.0000	0.4436	0.4525	0.4348	60507.000000	23814.000000
185	160116	78220	4	41	1	2	4	17	C	C	70	1.0000	0.3380	0.3635	0.3125	48860.000000	17500.000000
186	100437	30456	4	42	1	2	4	18	C	C	61	1.0000	0.1362	0.1564	0.1160	35258.000000	13786.000000
187	179479	102620	4	43	1	2	4	19	C	C	73	1.0000	0.4227	0.4342	0.4112	46647.000000	19710.000000
188	72593	24121	4	44	1	2	4	20	B	B	46	1.0000	0.0000	0.0000	0.0000	22632.000000	9246.000000
189	102577	37586	4	45	1	2	4	21	C	C	60	1.0000	0.3071	0.3332	0.2811	32940.000000	11280.000000
190	203970	130690	4	46	1	2	4	22	C	C	82	1.0000	0.1754	0.1760	0.1748	77736.000000	30258.000000
191	163809	148445	4	47	1	2	4	23	C	C	80	1.0000	0.6016	0.5821	0.6211	42880.000000	17360.000000
192	3392052	3611218	4	48	1	2	4	24	C	C	91	1.0000	0.9636	0.9608	0.9665	94185.000000	58968.000000
193	70444	26212	5	1	1	1	5	1	C	C	64	1.0000	0.0755	0.0900	0.0610	26304.000000	14144.000000
194	568104	693697	5	2	1	1	5	2	C	C	151	0.1192	0.8181	0.7688	0.8674	23544.000000	77958.000000
195	1459438	1607168	5	3	1	1	5	3	C	C	79	1.0000	0.5949	0.5949	0.5949	68019.000000	42186.000000
196	1531645	1891598	5	4	1	1	5	4	C	C	88	1.0000	0.9322	0.9179	0.9465	54472.000000	27720.000000
197	154439	113246	5	5	1	1	5	5	C	C	80	1.0000	0.3494	0.3558	0.3429	39120.000000	15600.000000
198	2836766	2387154	5	6	1	1	5	6	C	C	88	1.0000	0.7826	0.7923	0.7728	49544.000000	21208.000000
199	1148689	1334368	5	7	1	1	5	7	C	C	88	1.0000	0.9377	0.9228	0.9527	39864.000000	19008.000000
200	1511672	1631857	5	8	1	1	5	8	C	C	89	1.0000	0.9599	0.9540	0.9657	37469.000000	18957.000000
201	160034	152619	5	9	1	1	5	9	C	C	79	1.0000	0.5796	0.5754	0.5838	31521.000000	13904.000000
202	873875	662930	5	10	1	1	5	10	C	C	91	1.0000	0.7968	0.8038	0.7897	43043.000000	19110.000000
203	614315	677354	5	11	1	1	5	11	C	C	74	1.0000	0.8997	0.8931	0.9063	37962.000000	15244.000000
204	136383	186641	5	12	1	1	5	12	C	C	68	1.0000	0.7476	0.7129	0.7822	28764.000000	16796.000000
205	4703721	4294090	5	13	1	1	5	13	C	C	105	0.9429	0.7019	0.7019	0.7019	122562.000000	80388.000000
206	170969	139170	5	14	1	1	5	14	C	C	90	1.0000	0.5846	0.5753	0.5939	47430.000000	19980.000000
207	1837502	1862661	5	15	1	1	5	15	S	S	94	0.5213	0.7778	0.7493	0.8063	56546.000000	32487.000000
208	2557903	3207005	5	16	1	1	5	16	C	C	88	1.0000	0.7897	0.7728	0.8067	77528.000000	51216.000000
209	400169	376930	5	17	1	1	5	17	C	C	72	1.0000	0.4413	0.4360	0.4465	43560.000000	18432.000000
210	631458	757669	5	18	1	1	5	18	C	C	93	1.0000	0.9726	0.9560	0.9892	52173.000000	23436.000000
211	171917	145715	5	19	1	1	5	19	C	C	78	1.0000	0.8406	0.8435	0.8377	35100.000000	16614.000000
212	73441	25962	5	20	1	1	5	20	C	C	56	1.0000	0.1759	0.2001	0.1516	23856.000000	11144.000000
213	57399	17319	5	21	1	1	5	21	B	B	43	1.0000	0.0000	0.0000	0.0000	20253.000000	8643.000000
214	1872088	1776756	5	22	1	1	5	22	C	C	87	1.0000	0.9529	0.9469	0.9589	54375.000000	27666.000000
215	267093	405561	5	23	1	1	5	23	C	C	105	1.0000	0.8532	0.8238	0.8826	54705.000000	26670.000000
216	107682	161610	5	24	1	1	5	24	C	C	89	1.0000	0.5172	0.4549	0.5795	45390.000000	19402.000000
217	172157	106237	5	25	1	2	5	1	C	C	62	1.0000	0.5742	0.5717	0.5767	34472.000000	15128.000000
218	800243	892510	5	26	1	2	5	2	C	C	148	0.1892	0.9240	0.8660	0.9820	40572.000000	116480.000000
219	950879	813042	5	27	1	2	5	3	C	C	82	1.0000	0.6243	0.6350	0.6135	55350.000000	29602.000000
220	301424	287482	5	28	1	2	5	4	C	C	83	1.0000	0.6758	0.6714	0.6803	41500.000000	17762.000000
221	200428	140595	5	29	1	2	5	5	C	C	82	1.0000	0.5301	0.5390	0.5212	47314.000000	16482.000000
222	248489	183138	5	30	1	2	5	6	C	C	76	1.0000	0.5696	0.5676	0.5716	40432.000000	14972.000000
223	136354	222187	5	31	1	2	5	7	C	C	85	1.0000	0.8349	0.7442	0.9256	42415.000000	18105.000000
